"match_id","radiant_win","duration","radiant_score","dire_score","leagueid","start_time","lobby_type","game_mode","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
656631467,TRUE,1437,0,0,600,1399911321,1,2,41016928,84853828,85937380,86919603,91963568,91981924,100704400,109822425,109883841,132291754
656624364,FALSE,1586,0,0,600,1399911418,1,2,956503,21604967,34752860,36366510,41470731,44091499,45064222,86715129,109778511,115975133
656641101,FALSE,1797,0,0,600,1399911567,1,2,28070572,86722079,86750050,86761836,86785102,91539456,94923783,112956437,118073569,124105510
656762258,FALSE,1289,0,0,600,1399916043,1,2,956503,1185644,5448108,10366616,31818853,34752860,36366510,44091499,45064222,87196890
656759304,TRUE,2467,0,0,600,1399916056,1,2,29126401,41016928,58134384,74040691,84853828,85937380,86919603,93447516,100704400,170041034
656762659,FALSE,2018,0,0,600,1399916160,1,2,7910302,32922146,83625397,91963568,91981924,99643683,109822425,109883841,118032120,132291754
656763090,FALSE,1672,0,0,600,1399916174,1,2,21604967,28070572,41470731,86715129,86722079,86750050,91539456,109778511,115975133,124105510
656877636,TRUE,2514,0,0,600,1399920787,1,2,956503,7910302,32922146,34752860,36366510,44091499,45064222,83625397,99643683,118032120
656881036,FALSE,1414,0,0,600,1399920924,1,2,30237211,38515149,67601693,85805514,86738694,86761836,86785102,94923783,112956437,118073569
656884389,FALSE,630,0,0,600,1399920971,1,2,1185644,5448108,10366616,28070572,31818853,86722079,86750050,87196890,91539456,124105510
656972961,FALSE,1937,0,0,600,1399925377,1,2,21604967,30237211,38515149,41470731,67601693,85805514,86715129,86738694,109778511,115975133
656975736,TRUE,1667,0,0,600,1399925648,1,2,956503,34752860,36366510,44091499,45064222,91963568,91981924,109822425,109883841,132291754
656976155,FALSE,2035,0,0,600,1399925736,1,2,29126401,58134384,74040691,86724433,91019997,93447516,99672424,111706228,111709507,170041034
656979559,TRUE,2017,0,0,600,1399925868,1,2,28070572,41016928,84853828,85937380,86722079,86750050,86919603,91539456,100704400,124105510
657045289,FALSE,2325,0,0,600,1399930204,1,2,29126401,58134384,74040691,91963568,91981924,93447516,109822425,109883841,132291754,170041034
657045063,FALSE,3536,0,0,600,1399930288,1,2,21604967,41470731,86715129,86761836,86785102,94923783,109778511,112956437,115975133,118073569
657046328,TRUE,2463,0,0,600,1399930344,1,2,7910302,28070572,32922146,83625397,86722079,86750050,91539456,99643683,118032120,124105510
657046570,FALSE,1959,0,0,600,1399930364,1,2,30237211,38515149,41016928,67601693,84853828,85805514,85937380,86738694,86919603,100704400
657096353,FALSE,1931,0,0,600,1399935144,1,2,956503,34752860,36366510,44091499,45064222,86724433,91019997,99672424,111706228,111709507
657096883,FALSE,2179,0,0,600,1399935245,1,2,7910302,30237211,32922146,38515149,67601693,83625397,85805514,86738694,99643683,118032120
657096725,FALSE,1919,0,0,600,1399935250,1,2,21604967,29126401,41470731,58134384,74040691,86715129,93447516,109778511,115975133,170041034
657098467,TRUE,2169,0,0,600,1399935352,1,2,1185644,5448108,10366616,31818853,86761836,86785102,87196890,94923783,112956437,118073569
657137532,TRUE,900,0,0,600,1399939917,1,2,28070572,29126401,58134384,74040691,86722079,86750050,91539456,93447516,124105510,170041034
657137475,FALSE,1987,0,0,600,1399940010,1,2,21604967,41016928,41470731,84853828,85937380,86715129,86919603,100704400,109778511,115975133
657140538,FALSE,2638,0,0,600,1399940026,1,2,86724433,91019997,91963568,91981924,99672424,109822425,109883841,111706228,111709507,132291754
657138638,TRUE,2442,0,0,600,1399940128,1,2,1185644,5448108,10366616,30237211,31818853,38515149,67601693,85805514,86738694,87196890
658278419,FALSE,1580,0,0,600,1399997577,1,2,29126401,30237211,38515149,58134384,67601693,74040691,85805514,86738694,93447516,170041034
658277530,FALSE,2551,0,0,600,1399997668,1,2,1185644,5448108,10366616,21604967,31818853,41470731,86715129,87196890,109778511,115975133
658283136,TRUE,1718,0,0,600,1399997788,1,2,28070572,86722079,86724433,86750050,91019997,91539456,99672424,111706228,111709507,124105510
658298194,FALSE,2893,0,0,600,1399998372,1,2,7910302,32922146,83625397,86761836,86785102,94923783,99643683,112956437,118032120,118073569
658404890,FALSE,1856,0,0,600,1400002085,1,2,28070572,30237211,38515149,67601693,85805514,86722079,86738694,86750050,91539456,124105510
658403479,TRUE,1908,0,0,600,1400002405,1,2,1185644,5448108,10366616,31818853,87196890,91963568,91981924,109822425,109883841,132291754
658410102,TRUE,2830,0,0,600,1400002522,1,2,41016928,84853828,85937380,86761836,86785102,86919603,94923783,100704400,112956437,118073569
658409507,TRUE,2730,0,0,600,1400002707,1,2,7910302,21604967,32922146,41470731,83625397,86715129,99643683,109778511,115975133,118032120
658527044,FALSE,3097,0,0,600,1400007292,1,2,29126401,58134384,74040691,86761836,86785102,93447516,94923783,112956437,118073569,170041034
658527680,FALSE,1072,0,0,600,1400007342,1,2,1185644,5448108,7910302,10366616,31818853,32922146,83625397,87196890,99643683,118032120
658537830,FALSE,3212,0,0,600,1400007490,1,2,28070572,86722079,86750050,91539456,91963568,91981924,109822425,109883841,124105510,132291754
658536142,TRUE,2646,0,0,600,1400007720,1,2,956503,34752860,36366510,41016928,44091499,45064222,84853828,85937380,86919603,100704400
658642456,FALSE,2288,0,0,600,1400013218,1,2,21604967,41470731,86715129,86724433,91019997,99672424,109778511,111706228,111709507,115975133
658647820,TRUE,2029,0,0,600,1400013306,1,2,86761836,86785102,91963568,91981924,94923783,109822425,109883841,112956437,118073569,132291754
658648866,TRUE,1071,0,0,600,1400013387,1,2,956503,28070572,34752860,36366510,44091499,45064222,86722079,86750050,91539456,124105510
658650701,TRUE,1250,0,0,600,1400013456,1,2,1185644,5448108,10366616,29126401,31818853,58134384,74040691,87196890,93447516,170041034
658702989,TRUE,1405,0,0,600,1400017141,1,2,1185644,5448108,10366616,31818853,41016928,84853828,85937380,86919603,87196890,100704400
658704672,TRUE,1221,0,0,600,1400017221,1,2,86724433,86761836,86785102,91019997,94923783,99672424,111706228,111709507,112956437,118073569
658703432,FALSE,3189,0,0,600,1400017236,1,2,956503,29126401,34752860,36366510,44091499,45064222,58134384,74040691,93447516,170041034
658709879,FALSE,2231,0,0,600,1400017641,1,2,30237211,38515149,67601693,85805514,86738694,91963568,91981924,109822425,109883841,132291754
658750033,TRUE,2054,0,0,600,1400021429,1,2,1185644,5448108,10366616,31818853,86724433,87196890,91019997,99672424,111706228,111709507
658753872,TRUE,2919,0,0,600,1400021839,1,2,7910302,32922146,41016928,83625397,84853828,85937380,86919603,99643683,100704400,118032120
658752961,TRUE,2981,0,0,600,1400021856,1,2,956503,30237211,34752860,36366510,38515149,44091499,45064222,67601693,85805514,86738694
658758992,TRUE,2671,0,0,600,1400022397,1,2,21604967,41470731,86715129,91963568,91981924,109778511,109822425,109883841,115975133,132291754
658792104,TRUE,2934,0,0,600,1400026318,1,2,7910302,29126401,32922146,58134384,74040691,83625397,93447516,99643683,118032120,170041034
